"Voter.ID","Permanent.Absentee","Registration.Date","Original.Registration.Date","Party","Precinct","Age","X6.22.2010","X11.2.2010","X9.13.2011","X11.8.2011","X6.26.2012","X11.6.2012","X8.13.2013","X11.5.2013","X6.24.2014","X11.4.2014","X8.11.2015","X11.3.2015","X6.28.2016","X11.8.2016","X8.15.2017","X11.7.2017","X6.26.2018","X11.6.2018","lon","lat","min.c.dist","Voted_X6.22.2010","Voted_X11.2.2010","Voted_X9.13.2011","Voted_X11.8.2011","Voted_X6.26.2012","Voted_X11.6.2012","Voted_X8.13.2013","Voted_X11.5.2013","Voted_X6.24.2014","Voted_X11.4.2014","Voted_X8.11.2015","Voted_X11.3.2015","Voted_X6.28.2016","Voted_X11.8.2016","Voted_X8.15.2017","Voted_X11.7.2017","Voted_X6.26.2018","Voted_X11.6.2018","X11.5.2019","Voted_X11.5.2019"
6474684,"","5/8/2018","8/28/2004","Republican","SR01",42,"6/22/2010","11/2/2010",NA,"11/8/2011",NA,"10/31/2012","8/13/2013","11/5/2013",NA,"11/4/2014",NA,NA,NA,"11/8/2016",NA,NA,NA,"11/7/2018",-111.9376473,40.382586,960.558731237449,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,"11/14/2019",1
1580306,"","8/15/2018","7/19/2012","Unaffiliated","SR01",27,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,"11/4/2016",NA,NA,NA,"11/7/2018",-111.9413268,40.3743357,27.7137097133942,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
5313842,"YES","8/2/2017","6/18/2002","Republican","SR01",39,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,"6/16/2016","10/24/2016",NA,"10/25/2017",NA,"11/1/2018",-111.9371815,40.380666,775.27801082835,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,"11/14/2019",1
6429115,"","12/6/2018","11/8/2005","Republican","SR01",38,"6/22/2010","10/29/2010",NA,NA,NA,"10/31/2012",NA,NA,NA,"10/30/2014",NA,NA,NA,"10/27/2016",NA,NA,NA,"11/6/2018",-111.9383925,40.3763621,316.637158406653,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,NA,0
1636016,"","10/9/2012","10/9/2012","Republican","SR01",37,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,"6/28/2016","11/8/2016",NA,NA,NA,NA,-111.9301251,40.3683015,1140.37812205566,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,NA,0
6488200,"","11/5/2018","10/15/2004","Republican","SR01",39,NA,"11/2/2010",NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,"10/26/2016",NA,NA,NA,"11/9/2018",-111.9250016,40.3717501,1388.51533358468,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
3012807,"","7/6/2012","11/23/2004","Republican","SR01",38,"6/18/2010","11/2/2010","9/13/2011","11/8/2011","6/26/2012","10/31/2012",NA,"11/5/2013",NA,"10/30/2014",NA,"11/3/2015",NA,"10/27/2016",NA,NA,NA,"11/5/2018",-111.9383925,40.3763621,316.637158406653,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,"10/28/2019",1
2071190,"","5/31/2018","5/24/2018","Independent American","SR01",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2018",-111.9413268,40.3743357,27.7137097133942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0
1637915,"YES","8/7/2017","10/17/2012","Republican","SR01",35,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,"6/16/2016","10/24/2016",NA,"10/25/2017",NA,"11/1/2018",-111.9371815,40.380666,775.27801082835,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,"11/14/2019",1
1592459,"","7/16/2015","9/4/2012","Republican","SR01",28,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9358307,40.3793776,712.468769953293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
6408406,"","10/14/2016","10/27/2000","Unaffiliated","SR01",36,NA,NA,NA,NA,"6/26/2012","11/6/2012",NA,NA,NA,"11/4/2014",NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.9301251,40.3683015,1140.37812205566,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,NA,0
6258018,"","2/15/2018","3/27/1996","Unaffiliated","SR01",63,NA,"11/2/2010",NA,NA,NA,"11/6/2012",NA,"11/5/2013",NA,"11/4/2014",NA,NA,NA,"11/2/2016",NA,NA,NA,"11/7/2018",-111.9413268,40.3743357,27.7137097133942,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,NA,0
6474682,"","5/8/2018","8/28/2004","Republican","SR01",37,"6/22/2010",NA,NA,NA,NA,"10/31/2012","8/13/2013","11/5/2013",NA,"11/4/2014",NA,NA,NA,NA,NA,NA,NA,"11/5/2018",-111.9376473,40.382586,960.558731237449,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,"11/14/2019",1
1359708,"","8/2/2017","9/30/2008","Republican","SR01",52,NA,NA,NA,NA,NA,"10/23/2012",NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,"10/24/2018",-111.930521,40.3685836,1094.78592881867,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
1482781,"YES","11/22/2017","10/8/2010","Republican","SR01",70,NA,"11/2/2010",NA,NA,NA,NA,NA,NA,NA,"11/4/2014","8/11/2015",NA,NA,"11/2/2016",NA,NA,NA,"10/29/2018",-111.9434461,40.3797814,640.540090871695,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,NA,0
2059725,"","3/27/2018","3/27/2018","Unaffiliated","SR01",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9288908,40.36792,1250.42779346045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
6293436,"","7/2/2018","5/28/2004","Republican","SR01",41,NA,"11/2/2010",NA,NA,NA,"10/31/2012",NA,NA,NA,NA,NA,"11/3/2015","6/28/2016","11/8/2016",NA,NA,"6/26/2018","11/9/2018",-111.9288908,40.36792,1250.42779346045,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,NA,0
6393389,"YES","10/22/2018","10/22/2004","Independent American","SR01",37,NA,NA,NA,NA,"6/26/2012","11/6/2012",NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.9446338,40.3731845,333.496676312356,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0
1961212,"","5/8/2018","10/31/2016","Unaffiliated","SR01",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/12/2016",NA,NA,NA,"11/9/2018",-100.4471368,31.4675837,1419918.39187747,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
1608428,"","5/8/2018","9/25/2012","Unaffiliated","SR01",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/12/2016",NA,NA,NA,"11/9/2018",-100.4471368,31.4675837,1419918.39187747,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
2175390,"","11/6/2018","11/6/2018","Independent American","SR01",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9383925,40.3763621,316.637158406653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/28/2019",1
1890201,"","7/26/2016","7/26/2016","Republican","SR01",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9436557,40.37167,371.109375580236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/30/2019",1
2018433,"","6/29/2017","6/29/2017","Independent American","SR01",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9436557,40.37167,371.109375580236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2018442,"","6/29/2017","6/29/2017","Independent American","SR01",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.9436557,40.37167,371.109375580236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
1383844,"","10/12/2016","9/1/2008","Unaffiliated","SR01",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/2016",NA,NA,NA,"11/8/2018",-111.9260496,40.3728522,1280.23719163553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
1348100,"YES","11/18/2016","9/1/2008","Unaffiliated","SR01",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,"11/6/2018",-111.9260496,40.3728522,1280.23719163553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"10/21/2019",1
6516781,"","11/21/2012","10/11/1999","Republican","SR01",45,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,"11/4/2014",NA,NA,NA,"11/8/2016",NA,NA,NA,"10/29/2018",NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,NA,0
6380877,"","5/21/2008","8/29/1999","Republican","SR01",48,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,"11/4/2014",NA,NA,NA,"11/8/2016",NA,NA,NA,"10/30/2018",NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,NA,0
3024955,"","11/10/2015","9/14/2000","Unaffiliated","SR01",36,"6/22/2010","11/2/2010",NA,NA,"6/25/2012",NA,NA,NA,NA,NA,NA,"11/3/2015",NA,"11/8/2016",NA,NA,NA,"10/23/2018",-96.9551749,32.8552802,1566369.24069017,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,"11/6/2019",1
3024957,"","12/14/2012","9/10/2000","Unaffiliated","SR01",38,"6/22/2010","11/2/2010",NA,NA,"6/25/2012",NA,NA,NA,NA,"11/4/2014",NA,"11/3/2015",NA,"11/8/2016",NA,NA,NA,"10/23/2018",-96.9551749,32.8552802,1566369.24069017,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,"11/14/2019",1
1771418,"YES","12/5/2018","3/31/2015","Republican","SR01",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/1/2016",NA,NA,NA,"11/6/2018",-111.9430846,40.371322,377.460901473598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"11/14/2019",1
